date,site_id,local_site_name,county,state,site_latitude,site_longitude,station,station_name,daily_max_8hr_ozone,daily_aqi_ozone,daily_obs_count_ozone,percent_complete_ozone,ozone_poc,daily_mean_pm10,daily_aqi_pm10,daily_obs_count_pm10,percent_complete_pm10,pm10_poc,daily_mean_pm25,daily_aqi_pm25,daily_obs_count_pm25,percent_complete_pm25,pm25_poc,daily_max_1hr_no2,daily_aqi_no2,daily_obs_count_no2,percent_complete_no2,no2_poc,awnd,prcp,tmax,tmin,overall_aqi,poor_air_quality,year,month,day_of_week,is_weekend,season,dominant_pollutant
2024-02-20,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.045,42.0,17.0,100.0,1,14.0,13.0,1.0,100.0,3,3.3,18.0,1.0,100.0,1,7.6,7.0,24.0,100.0,1,3.4,0.0,26.7,18.9,42.0,1,2024,2,Tuesday,0,Winter,Ozone
2024-02-21,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,17.0,100.0,1,15.0,14.0,1.0,100.0,3,3.25,19.0,2.0,100.0,"1,2",13.4,12.0,24.0,100.0,1,3.8,0.0,26.1,20.0,34.0,0,2024,2,Wednesday,0,Winter,Ozone
2024-02-22,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.036,33.0,17.0,100.0,1,13.0,12.0,1.0,100.0,3,3.7,21.0,1.0,100.0,1,8.2,8.0,24.0,100.0,1,3.8,0.8,27.8,19.4,33.0,0,2024,2,Thursday,0,Winter,Ozone
2024-02-23,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,12.0,11.0,1.0,100.0,3,3.5,19.0,1.0,100.0,1,8.3,8.0,24.0,100.0,1,4.3,0.0,28.3,19.4,32.0,0,2024,2,Friday,0,Winter,Ozone
2024-02-24,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,17.0,100.0,1,15.0,14.0,1.0,100.0,3,4.5,27.0,2.0,100.0,"1,2",6.4,6.0,24.0,100.0,1,4.3,0.0,26.1,19.4,34.0,0,2024,2,Saturday,1,Winter,Ozone
2024-02-25,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.042,39.0,17.0,100.0,1,15.0,14.0,1.0,100.0,3,4.7,26.0,1.0,100.0,1,2.8,2.0,24.0,100.0,1,7.1,0.0,26.7,20.6,39.0,1,2024,2,Sunday,1,Winter,Ozone
2024-02-26,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.039,36.0,17.0,100.0,1,15.0,14.0,1.0,100.0,3,4.4,24.0,1.0,100.0,1,6.3,6.0,20.0,83.0,1,7.2,0.0,27.2,20.6,36.0,1,2024,2,Monday,0,Winter,Ozone
2024-02-27,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.039,36.0,17.0,100.0,1,22.0,20.0,1.0,100.0,3,6.75,39.0,2.0,100.0,"1,2",3.6,3.0,24.0,100.0,1,7.2,0.0,27.2,21.1,39.0,1,2024,2,Tuesday,0,Winter,PM2.5
2024-02-28,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,17.0,100.0,1,12.0,11.0,1.0,100.0,3,3.7,21.0,1.0,100.0,1,5.8,5.0,24.0,100.0,1,5.9,2.3,26.1,20.0,34.0,0,2024,2,Wednesday,0,Winter,Ozone
2024-02-29,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,12.0,11.0,1.0,100.0,3,3.8,21.0,1.0,100.0,1,7.0,7.0,24.0,100.0,1,6.1,1.5,26.7,19.4,32.0,0,2024,2,Thursday,0,Winter,Ozone
